,Test Case ID,Test Scenario,Precondition,Test Condition,Test Case Steps,Test Data,Expected Result,Actual Result Iteration 1,"Status
Iteration 1",Actual Result Iteration 2,"Status
 Iteration 2
(to be updated only if 
test case failed in Iteration 1)",Comments,Req: Reference
,TC011,Driver hire,The salary calculation site should be available,Calculating the salary,"1. Open The Browser
2. Navigate to the URL 
3. Click on salary calculator
4. Enter the age
5. Click on submit","Browser: Chrome
url: www.driverhire.com
age: 65",It show the salary as 15000 +5%,,,,,,
,TC012,Driver hire,The salary calculation site should be available,Calculating the salary,"1. Open The Browser
2. Navigate to the URL 
3. Click on salary calculator
4. Enter the age
5. Click on submit","Browser: Chrome
url: www.driverhire.com
age: 66",It show the salary as 15000 +5%,,,,,,
Q4,TC001,Discount Sale,Verification page should be avaliable,Check the discount according to the age,"1. Open The Browser
2. Navigate to the URL 
3. Click on price calculator
4. Enter the age
5. Click on submit","Browser: Chrome
url: www.discountcounter.com
age:6","It show the message  ""eligible""",,,,,,
,TC002,Discount Sale,Verification page should be avaliable,Check the discount according to the age,"1. Open The Browser
2. Navigate to the URL 
3. Click on price calculator
4. Enter the age
5. Click on submit","Browser: Chrome
url: www.discountcounter.com
age:15","It show the message  ""not eligible""",,,,,,
,TC003,Discount Sale,Verification page should be avaliable,Check the discount according to the age,"1. Open The Browser
2. Navigate to the URL 
3. Click on price calculator
4. Enter the age
5. Click on submit","Browser: Chrome
url: www.discountcounter.com
age:40","It show the message  ""eligible""",,,,,,
,TC004,Discount Sale,Verification page should be avaliable,Check the discount according to the age,"1. Open The Browser
2. Navigate to the URL 
3. Click on price calculator
4. Enter the age
5. Click on submit","Browser: Chrome
url: www.discountcounter.com
age:50","It show the message  ""not eligible""",,,,,,
,TC005,Discount Sale,Verification page should be avaliable,Check the discount according to the age,"1. Open The Browser
2. Navigate to the URL 
3. Click on price calculator
4. Enter the age
5. Click on submit","Browser: Chrome
url: www.discountcounter.com
age:65","It show the message  ""eligible""",,,,,,
Q5,TC001,Cartridge shopping,Cart page should be avaliable,Check the quantity and discount,"1. Open The Browser
2. Navigate to the URL 
3. Click on buy option
4. Enter the quantity
5. Click on submit","Browser: Chrome
url: www.printercart.com
quantity: 3","It show throw message  ""Minimum quantity is 5""",,,,,,
,TC002,Cartridge shopping,Cart page should be avaliable,Check the quantity and discount,"1. Open The Browser
2. Navigate to the URL 
3. Click on buy option
4. Enter the quantity
5. Click on submit","Browser: Chrome
url: www.printercart.com
quantity: 10",It shows the order placed,,,,,,
,TC003,Cartridge shopping,Cart page should be avaliable,Check the quantity and discount,"1. Open The Browser
2. Navigate to the URL 
3. Click on buy option
4. Enter the quantity
5. Click on submit","Browser: Chrome
url: www.printercart.com
quantity: 102",it should avail 20% discount,,,,,,
Q6,TC001,Employee Salary bonus,Salary page should be available,Check the bonus,"1. Open The Browser
2. Navigate to the URL 
3. Click on sbonus option
4. Enter the experience 
5. Click on submit","Browser: Chrome
url: www.employee.com
year of exp:  -1","it throw message ""Invaid year of experience""",,,,,,
,TC002,Employee Salary bonus,Salary page should be available,Check the bonus,"1. Open The Browser
2. Navigate to the URL 
3. Click on sbonus option
4. Enter the experience 
5. Click on submit","Browser: Chrome
url: www.employee.com
year of exp:  1.5","it show the message ""No bonus for under 2 years of experience""",,,,,,
,TC003,Employee Salary bonus,Salary page should be available,Check the bonus,"1. Open The Browser
2. Navigate to the URL 
3. Click on sbonus option
4. Enter the experience 
5. Click on submit","Browser: Chrome
url: www.employee.com
year of exp:  3",It show the available bonus = 10%,,,,,,
,TC004,Employee Salary bonus,Salary page should be available,Check the bonus,"1. Open The Browser
2. Navigate to the URL 
3. Click on sbonus option
4. Enter the experience 
5. Click on submit","Browser: Chrome
url: www.employee.com
year of exp:  6",It show the available bonus = 25%,,,,,,
,TC005,Employee Salary bonus,Salary page should be available,Check the bonus,"1. Open The Browser
2. Navigate to the URL 
3. Click on sbonus option
4. Enter the experience 
5. Click on submit","Browser: Chrome
url: www.employee.com
year of exp:  12",It show the available bonus = 35%,,,,,,
